sam,lane,ct,conc
AP1,4,15.0259,0.00625
AR2,4,15.6899,0.00625
AS1,4,17.2107,0.00625
AT2,4,15.7095,0.00625
CT1,4,16.2717,0.00625
CZ1,4,15.7611,0.00625
M31,5,10.494,0.00625
M53,5,9.51976,0.00625
O156,5,10.053,0.00625
O164,5,9.62322,0.00625
O172,5,9.45469,0.00625
X84,5,9.52287,0.00625
X36,5,10.051,0.00625
X45,5,9.27889,0.00625
X214,5,8.10959,0.00625
X222,5,9.35564,0.00625
X230,5,10.0594,0.00625
M15,5,10.1352,0.00625
O157,5,10.2465,0.00625
1CCA,5,12.9416,0.00625
1CVA,5,11.7881,0.00625
1CCH,5,13.7346,0.00625
1CVH,5,12.1941,0.00625
1DCA,5,13.8008,0.00625
1DVA,5,17.2394,0.00625
1DCH,5,18.3387,0.00625
1DVH,5,12.9806,0.00625
2ACA,5,13.5817,0.00625
2AVA,5,18.7437,0.00625
X215,6,11.206,0.00625
X223,6,8.94409,0.00625
O173,6,10.6445,0.00625
M16,6,9.08908,0.00625
M17,6,8.71755,0.00625
X24,6,9.2071,0.00625
O158,6,9.69205,0.00625
O166,6,10.0428,0.00625
X30,6,8.68759,0.00625
M32,6,11.7117,0.00625
M55,6,8.95252,0.00625
O153,6,10.6761,0.00625
O165,6,11.8937,0.00625
2ACH,6,13.8606,0.00625
2AVH,6,12.517,0.00625
2CCA,6,12.8574,0.00625
2CVA,6,13.6381,0.00625
2CCH,6,11.2084,0.00625
2CVH,6,13.7126,0.00625
2DCA,6,14.6206,0.00625
2DVA,6,13.2824,0.00625
2DCH,6,12.4322,0.00625
2DVH,6,13.1655,0.00625
ORPm,7,13.7031,0.00625
SDBm,7,10.8469,0.00625
N2AVA,5,15.1955,0.0625
N1DCH,5,13.5779,0.0625
N1DVA,5,13.718,0.0625
NAS1,4,9.72186,0.0625
NAT2,4,9.29912,0.0625
NAR2,4,8.61954,0.0625
NCR1,3,9.32413,0.0625
NCT1,4,9.55986,0.0625
NCT2,1,10.0628,0.0625
NCW2,3,10.0981,0.0625
NCX2,3,9.49898,0.0625
NCZ1,4,10.2786,0.0625
N2AVA,5,17.3273,0.00625
N1DCH,5,15.6241,0.00625
N1DVA,5,16.112,0.00625
NAS1,4,12.1119,0.00625
NAT2,4,11.1606,0.00625
NAR2,4,11.1185,0.00625
NCR1,3,11.1063,0.00625
NCT1,4,12.3985,0.00625
NCT2,1,10.8847,0.00625
NCW2,3,11.2314,0.00625
NCX2,3,11.2713,0.00625
NCZ1,4,12.7468,0.00625
